sortby,weekday,time,jamp,tablename,VD,direct,road,position,city,district,newdirect
0,4,4,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,5,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,6,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,7,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,8,0.383,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,9,0.8511,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,10,0.8936,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,11,0.8298,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,12,0.8085,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,13,0.6383,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,14,0.6522,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,15,0.8913,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,16,0.8511,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,17,0.9149,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,18,0.9574,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,19,0.9787,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,20,0.9149,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,21,0.7872,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,22,0.4255,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,4,23,0.1489,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
0,5,0,0.0,EVQEUU60,VQEUU60,E,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
